accepted,dataset,hypotheses_per_second,p_floor,permutation_rounds,runtime_seconds
14,Bank,19.194463726122002,0.004975124378109453,200,2.0318358749937033
14,Bank,9.48902416085061,0.001996007984031936,500,4.110011665994534
14,Bank,4.636482186835229,0.000999000999000999,1000,8.411549625001498
22,Bike,40.10293085595429,0.004975124378109453,200,0.8976899999979651
22,Bike,22.67894634089349,0.001996007984031936,500,1.587375333001546
22,Bike,14.248922944691989,0.000999000999000999,1000,2.526506750000408
