seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
258,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
259,300,Exhaustive-Expanded,3,3,0,1.0,0.0
259,300,Random-25,0,0,0,0.0,0.0
259,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
260,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
260,300,Random-25,0,0,0,0.0,0.0
260,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
261,300,Exhaustive-Expanded,3,3,0,1.0,0.0
261,300,Random-25,1,0,1,0.0,1.0
261,300,VeraDM-prior,3,3,0,1.0,0.0
262,300,Exhaustive-Expanded,4,3,1,1.0,0.25
262,300,Random-25,2,0,2,0.0,1.0
262,300,VeraDM-prior,3,3,0,1.0,0.0
263,300,Exhaustive-Expanded,3,3,0,1.0,0.0
263,300,Random-25,1,1,0,0.3333333333333333,0.0
263,300,VeraDM-prior,3,3,0,1.0,0.0
264,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
264,300,Random-25,1,1,0,0.3333333333333333,0.0
264,300,VeraDM-prior,4,3,1,1.0,0.25
265,300,Exhaustive-Expanded,3,3,0,1.0,0.0
265,300,Random-25,1,1,0,0.3333333333333333,0.0
265,300,VeraDM-prior,3,3,0,1.0,0.0
266,300,Exhaustive-Expanded,3,3,0,1.0,0.0
266,300,Random-25,0,0,0,0.0,0.0
266,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
267,300,Exhaustive-Expanded,3,3,0,1.0,0.0
267,300,Random-25,1,0,1,0.0,1.0
267,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
268,300,Exhaustive-Expanded,3,3,0,1.0,0.0
268,300,Random-25,0,0,0,0.0,0.0
268,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
269,300,Exhaustive-Expanded,3,3,0,1.0,0.0
269,300,Random-25,0,0,0,0.0,0.0
269,300,VeraDM-prior,3,3,0,1.0,0.0
270,300,Exhaustive-Expanded,4,3,1,1.0,0.25
270,300,Random-25,2,2,0,0.6666666666666666,0.0
270,300,VeraDM-prior,5,3,2,1.0,0.4
271,300,Exhaustive-Expanded,4,3,1,1.0,0.25
271,300,Random-25,0,0,0,0.0,0.0
271,300,VeraDM-prior,3,3,0,1.0,0.0
272,300,Exhaustive-Expanded,5,3,2,1.0,0.4
272,300,Random-25,0,0,0,0.0,0.0
272,300,VeraDM-prior,3,3,0,1.0,0.0
273,300,Exhaustive-Expanded,3,3,0,1.0,0.0
273,300,Random-25,0,0,0,0.0,0.0
273,300,VeraDM-prior,3,3,0,1.0,0.0
274,300,Exhaustive-Expanded,3,3,0,1.0,0.0
274,300,Random-25,2,2,0,0.6666666666666666,0.0
274,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
275,300,Exhaustive-Expanded,4,3,1,1.0,0.25
275,300,Random-25,0,0,0,0.0,0.0
275,300,VeraDM-prior,3,3,0,1.0,0.0
276,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
276,300,Random-25,0,0,0,0.0,0.0
276,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
277,300,Exhaustive-Expanded,3,3,0,1.0,0.0
277,300,Random-25,0,0,0,0.0,0.0
277,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
278,300,Exhaustive-Expanded,1,1,0,0.3333333333333333,0.0
278,300,Random-25,0,0,0,0.0,0.0
278,300,VeraDM-prior,4,3,1,1.0,0.25
279,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
279,300,Random-25,0,0,0,0.0,0.0
279,300,VeraDM-prior,5,3,2,1.0,0.4
280,300,Exhaustive-Expanded,3,3,0,1.0,0.0
280,300,Random-25,1,0,1,0.0,1.0
280,300,VeraDM-prior,3,3,0,1.0,0.0
281,300,Exhaustive-Expanded,3,3,0,1.0,0.0
281,300,Random-25,1,0,1,0.0,1.0
281,300,VeraDM-prior,4,3,1,1.0,0.25
282,300,Exhaustive-Expanded,6,3,3,1.0,0.5
282,300,Random-25,0,0,0,0.0,0.0
282,300,VeraDM-prior,3,3,0,1.0,0.0
283,300,Exhaustive-Expanded,4,3,1,1.0,0.25
283,300,Random-25,0,0,0,0.0,0.0
283,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
284,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
284,300,Random-25,0,0,0,0.0,0.0
284,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
285,300,Exhaustive-Expanded,3,3,0,1.0,0.0
285,300,Random-25,2,1,1,0.3333333333333333,0.5
285,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
286,300,Exhaustive-Expanded,3,3,0,1.0,0.0
286,300,Random-25,1,0,1,0.0,1.0
286,300,VeraDM-prior,3,3,0,1.0,0.0
287,300,Exhaustive-Expanded,3,3,0,1.0,0.0
287,300,Random-25,1,1,0,0.3333333333333333,0.0
287,300,VeraDM-prior,4,3,1,1.0,0.25
288,300,Exhaustive-Expanded,4,3,1,1.0,0.25
288,300,Random-25,0,0,0,0.0,0.0
288,300,VeraDM-prior,5,3,2,1.0,0.4
289,300,Exhaustive-Expanded,4,3,1,1.0,0.25
289,300,Random-25,0,0,0,0.0,0.0
289,300,VeraDM-prior,4,3,1,1.0,0.25
290,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
290,300,Random-25,0,0,0,0.0,0.0
290,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
291,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
291,300,Random-25,0,0,0,0.0,0.0
291,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
292,300,Exhaustive-Expanded,3,3,0,1.0,0.0
292,300,Random-25,2,0,2,0.0,1.0
292,300,VeraDM-prior,3,3,0,1.0,0.0
293,300,Exhaustive-Expanded,3,3,0,1.0,0.0
293,300,Random-25,0,0,0,0.0,0.0
293,300,VeraDM-prior,3,3,0,1.0,0.0
294,300,Exhaustive-Expanded,3,3,0,1.0,0.0
294,300,Random-25,3,0,3,0.0,1.0
294,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
295,300,Exhaustive-Expanded,3,3,0,1.0,0.0
295,300,Random-25,0,0,0,0.0,0.0
295,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
296,300,Exhaustive-Expanded,3,3,0,1.0,0.0
296,300,Random-25,0,0,0,0.0,0.0
296,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
297,300,Exhaustive-Expanded,3,3,0,1.0,0.0
297,300,Random-25,0,0,0,0.0,0.0
297,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
298,300,Exhaustive-Expanded,6,3,3,1.0,0.5
298,300,Random-25,0,0,0,0.0,0.0
298,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
299,300,Exhaustive-Expanded,5,3,2,1.0,0.4
299,300,Random-25,0,0,0,0.0,0.0
299,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
300,300,Exhaustive-Expanded,3,3,0,1.0,0.0
300,300,Random-25,0,0,0,0.0,0.0
300,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
301,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
301,300,Random-25,0,0,0,0.0,0.0
301,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
302,300,Exhaustive-Expanded,4,3,1,1.0,0.25
302,300,Random-25,0,0,0,0.0,0.0
302,300,VeraDM-prior,3,3,0,1.0,0.0
303,300,Exhaustive-Expanded,3,3,0,1.0,0.0
303,300,Random-25,2,1,1,0.3333333333333333,0.5
303,300,VeraDM-prior,3,3,0,1.0,0.0
304,300,Exhaustive-Expanded,4,3,1,1.0,0.25
304,300,Random-25,2,1,1,0.3333333333333333,0.5
304,300,VeraDM-prior,4,3,1,1.0,0.25
305,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
305,300,Random-25,2,1,1,0.3333333333333333,0.5
305,300,VeraDM-prior,5,3,2,1.0,0.4
306,300,Exhaustive-Expanded,4,3,1,1.0,0.25
306,300,Random-25,0,0,0,0.0,0.0
306,300,VeraDM-prior,3,3,0,1.0,0.0
307,300,Exhaustive-Expanded,3,3,0,1.0,0.0
307,300,Random-25,0,0,0,0.0,0.0
307,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
308,300,Exhaustive-Expanded,3,3,0,1.0,0.0
308,300,Random-25,0,0,0,0.0,0.0
308,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
309,300,Exhaustive-Expanded,3,3,0,1.0,0.0
309,300,Random-25,1,1,0,0.3333333333333333,0.0
309,300,VeraDM-prior,4,3,1,1.0,0.25
310,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
310,300,Random-25,0,0,0,0.0,0.0
310,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
311,300,Exhaustive-Expanded,0,0,0,0.0,0.0
311,300,Random-25,0,0,0,0.0,0.0
311,300,VeraDM-prior,3,3,0,1.0,0.0
312,300,Exhaustive-Expanded,4,3,1,1.0,0.25
312,300,Random-25,0,0,0,0.0,0.0
312,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
313,300,Exhaustive-Expanded,4,3,1,1.0,0.25
313,300,Random-25,0,0,0,0.0,0.0
313,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
314,300,Exhaustive-Expanded,5,3,2,1.0,0.4
314,300,Random-25,0,0,0,0.0,0.0
314,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
315,300,Exhaustive-Expanded,3,3,0,1.0,0.0
315,300,Random-25,1,1,0,0.3333333333333333,0.0
315,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
316,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
316,300,Random-25,0,0,0,0.0,0.0
316,300,VeraDM-prior,5,3,2,1.0,0.4
317,300,Exhaustive-Expanded,3,3,0,1.0,0.0
317,300,Random-25,1,1,0,0.3333333333333333,0.0
317,300,VeraDM-prior,3,3,0,1.0,0.0
318,300,Exhaustive-Expanded,3,3,0,1.0,0.0
318,300,Random-25,2,0,2,0.0,1.0
318,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
319,300,Exhaustive-Expanded,3,3,0,1.0,0.0
319,300,Random-25,0,0,0,0.0,0.0
319,300,VeraDM-prior,4,3,1,1.0,0.25
320,300,Exhaustive-Expanded,3,3,0,1.0,0.0
320,300,Random-25,0,0,0,0.0,0.0
320,300,VeraDM-prior,3,3,0,1.0,0.0
321,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
321,300,Random-25,0,0,0,0.0,0.0
321,300,VeraDM-prior,3,3,0,1.0,0.0
322,300,Exhaustive-Expanded,1,1,0,0.3333333333333333,0.0
322,300,Random-25,1,0,1,0.0,1.0
322,300,VeraDM-prior,3,3,0,1.0,0.0
323,300,Exhaustive-Expanded,3,3,0,1.0,0.0
323,300,Random-25,0,0,0,0.0,0.0
323,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
324,300,Exhaustive-Expanded,3,3,0,1.0,0.0
324,300,Random-25,0,0,0,0.0,0.0
324,300,VeraDM-prior,4,3,1,1.0,0.25
325,300,Exhaustive-Expanded,3,3,0,1.0,0.0
325,300,Random-25,0,0,0,0.0,0.0
325,300,VeraDM-prior,4,3,1,1.0,0.25
326,300,Exhaustive-Expanded,3,3,0,1.0,0.0
326,300,Random-25,0,0,0,0.0,0.0
326,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
327,300,Exhaustive-Expanded,3,3,0,1.0,0.0
327,300,Random-25,0,0,0,0.0,0.0
327,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
328,300,Exhaustive-Expanded,3,3,0,1.0,0.0
328,300,Random-25,0,0,0,0.0,0.0
328,300,VeraDM-prior,3,3,0,1.0,0.0
329,300,Exhaustive-Expanded,3,3,0,1.0,0.0
329,300,Random-25,1,1,0,0.3333333333333333,0.0
329,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
330,300,Exhaustive-Expanded,4,1,3,0.3333333333333333,0.75
330,300,Random-25,0,0,0,0.0,0.0
330,300,VeraDM-prior,3,3,0,1.0,0.0
331,300,Exhaustive-Expanded,7,3,4,1.0,0.5714285714285714
331,300,Random-25,0,0,0,0.0,0.0
331,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
332,300,Exhaustive-Expanded,4,3,1,1.0,0.25
332,300,Random-25,1,0,1,0.0,1.0
332,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
333,300,Exhaustive-Expanded,4,3,1,1.0,0.25
333,300,Random-25,0,0,0,0.0,0.0
333,300,VeraDM-prior,4,3,1,1.0,0.25
334,300,Exhaustive-Expanded,3,3,0,1.0,0.0
334,300,Random-25,0,0,0,0.0,0.0
334,300,VeraDM-prior,3,3,0,1.0,0.0
335,300,Exhaustive-Expanded,3,3,0,1.0,0.0
335,300,Random-25,1,1,0,0.3333333333333333,0.0
335,300,VeraDM-prior,3,3,0,1.0,0.0
336,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
336,300,Random-25,1,1,0,0.3333333333333333,0.0
336,300,VeraDM-prior,3,3,0,1.0,0.0
337,300,Exhaustive-Expanded,4,3,1,1.0,0.25
337,300,Random-25,0,0,0,0.0,0.0
337,300,VeraDM-prior,3,3,0,1.0,0.0
338,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
338,300,Random-25,0,0,0,0.0,0.0
338,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
339,300,Exhaustive-Expanded,3,3,0,1.0,0.0
339,300,Random-25,0,0,0,0.0,0.0
339,300,VeraDM-prior,3,3,0,1.0,0.0
340,300,Exhaustive-Expanded,3,3,0,1.0,0.0
340,300,Random-25,0,0,0,0.0,0.0
340,300,VeraDM-prior,3,3,0,1.0,0.0
341,300,Exhaustive-Expanded,4,3,1,1.0,0.25
341,300,Random-25,0,0,0,0.0,0.0
341,300,VeraDM-prior,3,3,0,1.0,0.0
342,300,Exhaustive-Expanded,4,3,1,1.0,0.25
342,300,Random-25,1,1,0,0.3333333333333333,0.0
342,300,VeraDM-prior,3,3,0,1.0,0.0
343,300,Exhaustive-Expanded,3,3,0,1.0,0.0
343,300,Random-25,0,0,0,0.0,0.0
343,300,VeraDM-prior,3,3,0,1.0,0.0
344,300,Exhaustive-Expanded,4,3,1,1.0,0.25
344,300,Random-25,0,0,0,0.0,0.0
344,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
345,300,Exhaustive-Expanded,4,3,1,1.0,0.25
345,300,Random-25,3,2,1,0.6666666666666666,0.3333333333333333
345,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
346,300,Exhaustive-Expanded,4,3,1,1.0,0.25
346,300,Random-25,1,1,0,0.3333333333333333,0.0
346,300,VeraDM-prior,3,3,0,1.0,0.0
347,300,Exhaustive-Expanded,3,3,0,1.0,0.0
347,300,Random-25,0,0,0,0.0,0.0
347,300,VeraDM-prior,3,3,0,1.0,0.0
348,300,Exhaustive-Expanded,5,3,2,1.0,0.4
348,300,Random-25,1,1,0,0.3333333333333333,0.0
348,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
349,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
349,300,Random-25,1,0,1,0.0,1.0
349,300,VeraDM-prior,3,3,0,1.0,0.0
350,300,Exhaustive-Expanded,3,3,0,1.0,0.0
350,300,Random-25,1,0,1,0.0,1.0
350,300,VeraDM-prior,3,3,0,1.0,0.0
351,300,Exhaustive-Expanded,3,3,0,1.0,0.0
351,300,Random-25,0,0,0,0.0,0.0
351,300,VeraDM-prior,3,3,0,1.0,0.0
352,300,Exhaustive-Expanded,3,3,0,1.0,0.0
352,300,Random-25,0,0,0,0.0,0.0
352,300,VeraDM-prior,3,3,0,1.0,0.0
353,300,Exhaustive-Expanded,3,3,0,1.0,0.0
353,300,Random-25,0,0,0,0.0,0.0
353,300,VeraDM-prior,3,3,0,1.0,0.0
354,300,Exhaustive-Expanded,5,3,2,1.0,0.4
354,300,Random-25,0,0,0,0.0,0.0
354,300,VeraDM-prior,3,3,0,1.0,0.0
355,300,Exhaustive-Expanded,6,3,3,1.0,0.5
355,300,Random-25,0,0,0,0.0,0.0
355,300,VeraDM-prior,4,2,2,0.6666666666666666,0.5
356,300,Exhaustive-Expanded,4,3,1,1.0,0.25
356,300,Random-25,1,0,1,0.0,1.0
356,300,VeraDM-prior,3,3,0,1.0,0.0
357,300,Exhaustive-Expanded,3,3,0,1.0,0.0
357,300,Random-25,0,0,0,0.0,0.0
357,300,VeraDM-prior,4,3,1,1.0,0.25
358,300,Exhaustive-Expanded,3,3,0,1.0,0.0
358,300,Random-25,0,0,0,0.0,0.0
358,300,VeraDM-prior,5,3,2,1.0,0.4
359,300,Exhaustive-Expanded,3,3,0,1.0,0.0
359,300,Random-25,0,0,0,0.0,0.0
359,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
360,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
360,300,Random-25,0,0,0,0.0,0.0
360,300,VeraDM-prior,3,3,0,1.0,0.0
361,300,Exhaustive-Expanded,3,3,0,1.0,0.0
361,300,Random-25,0,0,0,0.0,0.0
361,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
362,300,Exhaustive-Expanded,3,3,0,1.0,0.0
362,300,Random-25,1,1,0,0.3333333333333333,0.0
362,300,VeraDM-prior,3,3,0,1.0,0.0
363,300,Exhaustive-Expanded,3,3,0,1.0,0.0
363,300,Random-25,1,1,0,0.3333333333333333,0.0
363,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
364,300,Exhaustive-Expanded,3,3,0,1.0,0.0
364,300,Random-25,0,0,0,0.0,0.0
364,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
365,300,Exhaustive-Expanded,3,3,0,1.0,0.0
365,300,Random-25,1,1,0,0.3333333333333333,0.0
365,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
366,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
366,300,Random-25,0,0,0,0.0,0.0
366,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
367,300,Exhaustive-Expanded,1,1,0,0.3333333333333333,0.0
367,300,Random-25,0,0,0,0.0,0.0
367,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
368,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
368,300,Random-25,1,0,1,0.0,1.0
368,300,VeraDM-prior,6,3,3,1.0,0.5
369,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
369,300,Random-25,0,0,0,0.0,0.0
369,300,VeraDM-prior,3,3,0,1.0,0.0
370,300,Exhaustive-Expanded,5,3,2,1.0,0.4
370,300,Random-25,1,1,0,0.3333333333333333,0.0
370,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
371,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
371,300,Random-25,0,0,0,0.0,0.0
371,300,VeraDM-prior,4,3,1,1.0,0.25
372,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
372,300,Random-25,1,1,0,0.3333333333333333,0.0
372,300,VeraDM-prior,3,3,0,1.0,0.0
373,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
373,300,Random-25,0,0,0,0.0,0.0
373,300,VeraDM-prior,4,3,1,1.0,0.25
374,300,Exhaustive-Expanded,3,3,0,1.0,0.0
374,300,Random-25,0,0,0,0.0,0.0
374,300,VeraDM-prior,3,3,0,1.0,0.0
375,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
375,300,Random-25,1,1,0,0.3333333333333333,0.0
375,300,VeraDM-prior,5,3,2,1.0,0.4
376,300,Exhaustive-Expanded,4,3,1,1.0,0.25
376,300,Random-25,0,0,0,0.0,0.0
376,300,VeraDM-prior,3,3,0,1.0,0.0
377,300,Exhaustive-Expanded,3,3,0,1.0,0.0
377,300,Random-25,1,1,0,0.3333333333333333,0.0
377,300,VeraDM-prior,3,3,0,1.0,0.0
378,300,Exhaustive-Expanded,3,3,0,1.0,0.0
378,300,Random-25,2,1,1,0.3333333333333333,0.5
378,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
379,300,Exhaustive-Expanded,3,3,0,1.0,0.0
379,300,Random-25,1,1,0,0.3333333333333333,0.0
379,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
380,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
380,300,Random-25,0,0,0,0.0,0.0
380,300,VeraDM-prior,3,3,0,1.0,0.0
381,300,Exhaustive-Expanded,3,3,0,1.0,0.0
381,300,Random-25,0,0,0,0.0,0.0
381,300,VeraDM-prior,3,3,0,1.0,0.0
382,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
382,300,Random-25,0,0,0,0.0,0.0
382,300,VeraDM-prior,4,3,1,1.0,0.25
383,300,Exhaustive-Expanded,3,3,0,1.0,0.0
383,300,Random-25,0,0,0,0.0,0.0
383,300,VeraDM-prior,4,3,1,1.0,0.25
384,300,Exhaustive-Expanded,4,3,1,1.0,0.25
384,300,Random-25,0,0,0,0.0,0.0
384,300,VeraDM-prior,4,3,1,1.0,0.25
385,300,Exhaustive-Expanded,4,3,1,1.0,0.25
385,300,Random-25,0,0,0,0.0,0.0
385,300,VeraDM-prior,3,3,0,1.0,0.0
386,300,Exhaustive-Expanded,3,3,0,1.0,0.0
386,300,Random-25,0,0,0,0.0,0.0
386,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
387,300,Exhaustive-Expanded,3,3,0,1.0,0.0
387,300,Random-25,0,0,0,0.0,0.0
387,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
388,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
388,300,Random-25,2,0,2,0.0,1.0
388,300,VeraDM-prior,3,3,0,1.0,0.0
389,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
389,300,Random-25,0,0,0,0.0,0.0
389,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
390,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
390,300,Random-25,0,0,0,0.0,0.0
390,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
391,300,Exhaustive-Expanded,3,3,0,1.0,0.0
391,300,Random-25,0,0,0,0.0,0.0
391,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
392,300,Exhaustive-Expanded,3,3,0,1.0,0.0
392,300,Random-25,0,0,0,0.0,0.0
392,300,VeraDM-prior,5,3,2,1.0,0.4
393,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
393,300,Random-25,0,0,0,0.0,0.0
393,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
394,300,Exhaustive-Expanded,3,3,0,1.0,0.0
394,300,Random-25,0,0,0,0.0,0.0
394,300,VeraDM-prior,3,3,0,1.0,0.0
395,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
395,300,Random-25,0,0,0,0.0,0.0
395,300,VeraDM-prior,3,3,0,1.0,0.0
396,300,Exhaustive-Expanded,5,3,2,1.0,0.4
396,300,Random-25,0,0,0,0.0,0.0
396,300,VeraDM-prior,3,3,0,1.0,0.0
397,300,Exhaustive-Expanded,3,3,0,1.0,0.0
397,300,Random-25,1,0,1,0.0,1.0
397,300,VeraDM-prior,4,3,1,1.0,0.25
398,300,Exhaustive-Expanded,3,3,0,1.0,0.0
398,300,Random-25,2,0,2,0.0,1.0
398,300,VeraDM-prior,4,3,1,1.0,0.25
399,300,Exhaustive-Expanded,4,3,1,1.0,0.25
399,300,Random-25,1,1,0,0.3333333333333333,0.0
399,300,VeraDM-prior,3,3,0,1.0,0.0
400,300,Exhaustive-Expanded,1,1,0,0.3333333333333333,0.0
400,300,Random-25,0,0,0,0.0,0.0
400,300,VeraDM-prior,3,3,0,1.0,0.0
401,300,Exhaustive-Expanded,3,3,0,1.0,0.0
401,300,Random-25,0,0,0,0.0,0.0
401,300,VeraDM-prior,4,3,1,1.0,0.25
402,300,Exhaustive-Expanded,3,3,0,1.0,0.0
402,300,Random-25,0,0,0,0.0,0.0
402,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
403,300,Exhaustive-Expanded,3,3,0,1.0,0.0
403,300,Random-25,0,0,0,0.0,0.0
403,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
404,300,Exhaustive-Expanded,3,3,0,1.0,0.0
404,300,Random-25,0,0,0,0.0,0.0
404,300,VeraDM-prior,4,3,1,1.0,0.25
405,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
405,300,Random-25,0,0,0,0.0,0.0
405,300,VeraDM-prior,4,3,1,1.0,0.25
406,300,Exhaustive-Expanded,5,3,2,1.0,0.4
406,300,Random-25,0,0,0,0.0,0.0
406,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
407,300,Exhaustive-Expanded,3,3,0,1.0,0.0
407,300,Random-25,0,0,0,0.0,0.0
407,300,VeraDM-prior,3,3,0,1.0,0.0
408,300,Exhaustive-Expanded,4,3,1,1.0,0.25
408,300,Random-25,0,0,0,0.0,0.0
408,300,VeraDM-prior,3,3,0,1.0,0.0
409,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
409,300,Random-25,0,0,0,0.0,0.0
409,300,VeraDM-prior,3,3,0,1.0,0.0
410,300,Exhaustive-Expanded,1,1,0,0.3333333333333333,0.0
410,300,Random-25,0,0,0,0.0,0.0
410,300,VeraDM-prior,3,3,0,1.0,0.0
411,300,Exhaustive-Expanded,3,3,0,1.0,0.0
411,300,Random-25,0,0,0,0.0,0.0
411,300,VeraDM-prior,3,3,0,1.0,0.0
412,300,Exhaustive-Expanded,3,3,0,1.0,0.0
412,300,Random-25,0,0,0,0.0,0.0
412,300,VeraDM-prior,3,3,0,1.0,0.0
413,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
413,300,Random-25,3,2,1,0.6666666666666666,0.3333333333333333
413,300,VeraDM-prior,4,3,1,1.0,0.25
414,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
414,300,Random-25,1,0,1,0.0,1.0
414,300,VeraDM-prior,3,3,0,1.0,0.0
415,300,Exhaustive-Expanded,3,3,0,1.0,0.0
415,300,Random-25,0,0,0,0.0,0.0
415,300,VeraDM-prior,2,2,0,0.6666666666666666,0.0
416,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
416,300,Random-25,0,0,0,0.0,0.0
416,300,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
417,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
417,300,Random-25,1,1,0,0.3333333333333333,0.0
417,300,VeraDM-prior,4,3,1,1.0,0.25
418,300,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
418,300,Random-25,0,0,0,0.0,0.0
418,300,VeraDM-prior,3,3,0,1.0,0.0
419,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
419,300,Random-25,0,0,0,0.0,0.0
419,300,VeraDM-prior,3,3,0,1.0,0.0
420,300,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
420,300,Random-25,0,0,0,0.0,0.0
420,300,VeraDM-prior,1,1,0,0.3333333333333333,0.0
421,300,Exhaustive-Expanded,4,3,1,1.0,0.25
421,300,Random-25,0,0,0,0.0,0.0
421,300,VeraDM-prior,4,2,2,0.6666666666666666,0.5
422,300,Exhaustive-Expanded,4,3,1,1.0,0.25
422,300,Random-25,0,0,0,0.0,0.0
422,300,VeraDM-prior,4,3,1,1.0,0.25
