counterfactual_effect,dataset,decision,family,holdout_ci_high,holdout_ci_low,holdout_effect,hypothesis,p_value,q_value,query,reason,split,support_holdout,support_validation,validation_effect
-0.4459103525060654,BikeSharingHourly,accepted,hour,-0.6312589168248111,-0.6556084716431997,-0.6440511772900477,IF x6 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_night = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.24856881154110375,0.24800910125142206,-0.4459909228441755
0.6244461901451239,BikeSharingHourly,accepted,hour+season,0.5353189831502193,0.5020314217082047,0.5178749624515689,IF x14 = 1 AND x4 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_summer = 1 AND bike_evening_peak = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.04305014884359973,0.07599544937428897,0.628553776465783
-0.30909633908582446,BikeSharingHourly,accepted,weather+hour,-0.5048144547152356,-0.5255561792767085,-0.5157774152980289,IF x21 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_cold_night = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.061712846347607056,0.042320819112627986,-0.35020194820622474
-0.30909633908582446,BikeSharingHourly,accepted,hour+weather+hour,-0.5048144547152356,-0.5255561792767085,-0.5157774152980289,IF x21 = 1 AND x6 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_cold_night = 1 AND bike_night = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.061712846347607056,0.042320819112627986,-0.35020194820622474
0.5905875798524436,BikeSharingHourly,accepted,calendar+hour,0.5305033821171361,0.49360091314198157,0.5123876223425623,IF x1 = 1 AND x4 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_workingday = 1 AND bike_evening_peak = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.11403709640485458,0.11376564277588168,0.59196405648267
0.6430680361945125,BikeSharingHourly,accepted,sequence,0.5305033821171361,0.49360091314198157,0.5123876223425623,IF SEQUENCE x1 -> x4 WITHIN 24 HOURS THEN y = 1 increases,0.001996007984031936,0.002874251497005988,seq_x1_x4_within_24d = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.11403709640485458,0.11376564277588168,0.59196405648267
0.4896471868018148,BikeSharingHourly,accepted,calendar+hour,0.5072520700089631,0.46078456287839253,0.4842077462419422,IF x1 = 1 AND x3 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_workingday = 1 AND bike_morning_peak = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.08518433707350584,0.08532423208191127,0.4904676616915423
0.5640076632590336,BikeSharingHourly,accepted,hour,0.4938752202380022,0.4531503984279091,0.47430555817115566,IF x4 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_evening_peak = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.16716281199908403,0.1670079635949943,0.5639861802771238
0.5153151464545204,BikeSharingHourly,accepted,hour,0.4781707939695531,0.4357007053906865,0.45685611173707874,IF x2 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_commute_hour = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.29219143576826195,0.2926052332195677,0.5152191975636878
0.6395521130366293,BikeSharingHourly,accepted,calendar+hour,0.46341787927891653,0.408231391898478,0.4356206022426025,IF x7 = 1 AND x5 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_weekend = 1 AND bike_midday = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.06010991527364323,0.06029579067121729,0.5787610215176573
0.5291368526090765,BikeSharingHourly,accepted,hour+season,0.41699967289339357,0.35491711311609564,0.3880915749613363,IF x18 = 1 AND x2 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_fall = 1 AND bike_commute_hour = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.07018548202427295,0.14175199089874857,0.39847043944652577
-0.1811924488723746,BikeSharingHourly,accepted,weather,-0.3593287455647806,-0.40079539467176895,-0.3827308886409855,IF x11 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_temp_low = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.18502404396610947,0.1130830489192264,-0.23295132519075457
0.0954253858291496,BikeSharingHourly,accepted,hour,0.3861422653592827,0.34020338928270943,0.36213766552927895,IF x5 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_midday = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.20872452484543164,0.20932878270762229,0.09684860807006568
-0.24789285092028257,BikeSharingHourly,accepted,weather,-0.29444574881126356,-0.36261405864803914,-0.33089742447197223,IF x9 = 1 AND x12 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_bad_weather = 1 AND bike_humidity_high = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.05610258758873368,0.07872582480091013,-0.2511031768352137
-0.2513055991442112,BikeSharingHourly,accepted,weather,-0.30473147024649216,-0.34658363419004384,-0.3262803901797298,IF x12 = 1 THEN y = 1 decreases,0.001996007984031936,0.002874251497005988,bike_humidity_high = 1 -> P(y=1) decreases,passes all verification gates,2011H1/2011H2/2012,0.28348980993817263,0.3770193401592719,-0.2554798841314687
0.20886744904202087,BikeSharingHourly,accepted,weather,0.33314479856657075,0.2912413917982321,0.31167028084836307,IF x10 = 1 THEN y = 1 increases,0.001996007984031936,0.002874251497005988,bike_temp_high = 1 -> P(y=1) increases,passes all verification gates,2011H1/2011H2/2012,0.38149759560338903,0.4639362912400455,0.16482371347851033
