ablation,accepted_mean,accepted_std,false_discovery_rate_mean,false_discovery_rate_std,precision_mean,precision_std,recall_mean,recall_std,runs,spurious_accept_rate_mean,spurious_accept_rate_std
FullVerifier,9.0,0.0,0.6666666666666666,1.1102230246251565e-16,0.3333333333333333,0.0,1.0,0.0,24,0.0,0.0
NoCounterfactual,9.0,0.0,0.6666666666666666,1.1102230246251565e-16,0.3333333333333333,0.0,1.0,0.0,24,0.0,0.0
NoFDRCorrection,9.0,0.0,0.6666666666666666,1.1102230246251565e-16,0.3333333333333333,0.0,1.0,0.0,24,0.0,0.0
NoHeldout,15.041666666666666,0.19982631347136331,0.8005208333333335,0.0024978289183920327,0.19947916666666668,0.0024978289183920435,1.0,0.0,24,1.0,0.0
NoStatisticalTest,9.0,0.0,0.6666666666666666,1.1102230246251565e-16,0.3333333333333333,0.0,1.0,0.0,24,0.0,0.0
NoSupportGate,9.0,0.0,0.6666666666666666,1.1102230246251565e-16,0.3333333333333333,0.0,1.0,0.0,24,0.0,0.0
