accepted,achieved_fdr,method,null_accepted,null_proposals,seed
1,0.0,BY,0,10,56
2,0.0,RawP,0,10,57
2,0.0,BH,0,10,57
1,0.0,BY,0,10,57
2,0.0,RawP,0,10,58
2,0.0,BH,0,10,58
1,0.0,BY,0,10,58
3,0.3333333333333333,RawP,1,10,59
2,0.0,BH,0,10,59
1,0.0,BY,0,10,59
3,0.3333333333333333,RawP,1,10,60
2,0.0,BH,0,10,60
1,0.0,BY,0,10,60
3,0.3333333333333333,RawP,1,10,61
2,0.0,BH,0,10,61
1,0.0,BY,0,10,61
2,0.0,RawP,0,10,62
2,0.0,BH,0,10,62
1,0.0,BY,0,10,62
3,0.3333333333333333,RawP,1,10,63
2,0.0,BH,0,10,63
1,0.0,BY,0,10,63
3,0.3333333333333333,RawP,1,10,64
2,0.0,BH,0,10,64
1,0.0,BY,0,10,64
2,0.0,RawP,0,10,65
2,0.0,BH,0,10,65
1,0.0,BY,0,10,65
2,0.0,RawP,0,10,66
2,0.0,BH,0,10,66
1,0.0,BY,0,10,66
2,0.0,RawP,0,10,67
2,0.0,BH,0,10,67
1,0.0,BY,0,10,67
2,0.0,RawP,0,10,68
2,0.0,BH,0,10,68
1,0.0,BY,0,10,68
2,0.0,RawP,0,10,69
2,0.0,BH,0,10,69
1,0.0,BY,0,10,69
3,0.3333333333333333,RawP,1,10,70
2,0.0,BH,0,10,70
1,0.0,BY,0,10,70
3,0.3333333333333333,RawP,1,10,71
3,0.3333333333333333,BH,1,10,71
1,0.0,BY,0,10,71
3,0.3333333333333333,RawP,1,10,72
2,0.0,BH,0,10,72
1,0.0,BY,0,10,72
3,0.3333333333333333,RawP,1,10,73
2,0.0,BH,0,10,73
1,0.0,BY,0,10,73
3,0.3333333333333333,RawP,1,10,74
2,0.0,BH,0,10,74
1,0.0,BY,0,10,74
2,0.0,RawP,0,10,75
2,0.0,BH,0,10,75
1,0.0,BY,0,10,75
2,0.0,RawP,0,10,76
2,0.0,BH,0,10,76
1,0.0,BY,0,10,76
2,0.0,RawP,0,10,77
2,0.0,BH,0,10,77
1,0.0,BY,0,10,77
2,0.0,RawP,0,10,78
2,0.0,BH,0,10,78
1,0.0,BY,0,10,78
2,0.0,RawP,0,10,79
2,0.0,BH,0,10,79
1,0.0,BY,0,10,79
2,0.0,RawP,0,10,80
2,0.0,BH,0,10,80
1,0.0,BY,0,10,80
3,0.3333333333333333,RawP,1,10,81
2,0.0,BH,0,10,81
1,0.0,BY,0,10,81
3,0.3333333333333333,RawP,1,10,82
3,0.3333333333333333,BH,1,10,82
1,0.0,BY,0,10,82
2,0.0,RawP,0,10,83
2,0.0,BH,0,10,83
1,0.0,BY,0,10,83
4,0.5,RawP,2,10,84
3,0.3333333333333333,BH,1,10,84
3,0.3333333333333333,BY,1,10,84
3,0.3333333333333333,RawP,1,10,85
2,0.0,BH,0,10,85
1,0.0,BY,0,10,85
2,0.0,RawP,0,10,86
2,0.0,BH,0,10,86
1,0.0,BY,0,10,86
3,0.3333333333333333,RawP,1,10,87
2,0.0,BH,0,10,87
1,0.0,BY,0,10,87
2,0.0,RawP,0,10,88
2,0.0,BH,0,10,88
1,0.0,BY,0,10,88
3,0.3333333333333333,RawP,1,10,89
2,0.0,BH,0,10,89
1,0.0,BY,0,10,89
3,0.3333333333333333,RawP,1,10,90
2,0.0,BH,0,10,90
1,0.0,BY,0,10,90
2,0.0,RawP,0,10,91
2,0.0,BH,0,10,91
1,0.0,BY,0,10,91
3,0.3333333333333333,RawP,1,10,92
2,0.0,BH,0,10,92
1,0.0,BY,0,10,92
2,0.0,RawP,0,10,93
2,0.0,BH,0,10,93
1,0.0,BY,0,10,93
2,0.0,RawP,0,10,94
2,0.0,BH,0,10,94
1,0.0,BY,0,10,94
2,0.0,RawP,0,10,95
2,0.0,BH,0,10,95
1,0.0,BY,0,10,95
2,0.0,RawP,0,10,96
2,0.0,BH,0,10,96
1,0.0,BY,0,10,96
4,0.5,RawP,2,10,97
2,0.0,BH,0,10,97
1,0.0,BY,0,10,97
4,0.5,RawP,2,10,98
2,0.0,BH,0,10,98
1,0.0,BY,0,10,98
2,0.0,RawP,0,10,99
2,0.0,BH,0,10,99
1,0.0,BY,0,10,99
3,0.3333333333333333,RawP,1,10,100
2,0.0,BH,0,10,100
1,0.0,BY,0,10,100
